entry_id;Temperature;Humidity;created_at
1;90;12;2025-07-01
2;29;53;2025-07-02
3;5;79;2025-07-03
4;1;76;2025-07-04
5;79;3;2025-07-05
6;4;87;2025-07-06
7;58;89;2025-07-07
8;21;98;2025-07-08
9;5;41;2025-07-09
10;99;13;2025-07-10
11;72;65;2025-07-11
12;31;74;2025-07-12
13;14;3;2025-07-13
14;25;42;2025-07-14
15;72;19;2025-07-15
16;41;86;2025-07-16
17;37;64;2025-07-17
18;36;84;2025-07-18
19;45;0;2025-07-19
20;36;41;2025-07-20
21;69;76;2025-07-21
22;81;2;2025-07-22
23;48;19;2025-07-23
24;67;76;2025-07-24
25;15;35;2025-07-25
26;88;68;2025-07-26
27;42;28;2025-07-27
28;50;56;2025-07-28
29;1;99;2025-07-29
30;50;34;2025-07-30
31;76;36;2025-07-31
